Genus,Species,Accession No,Concentration (ng/uL),Starting volume (uL),Total mass (ng),Volume DNA for 200ng (orange if we do not have enough for 200ng),Volume Tris to add to bring to 52.5uL
Viburnum,lutescens,PWS 2104,15.7,50,785,12.7,39.8
Viburnum,luzonicum,K81,41.4,50,2070,4.8,47.7
Viburnum,orientale,RCW 48,16.3,30,489,12.3,40.2
Viburnum,plicatum,KFC 1940,47.2,50,2360,4.2,48.3
Viburnum,punctatum,MD #1 4558,124,100,12400,1.6,50.9
Viburnum,rhytidophyllum,1386-82B,49.8,30,1494,4.0,48.5
Viburnum,rufidulum,21418A,38.4,50,1920,5.2,47.3
Viburnum,sargentii,RCW 19,61.4,30,1842,3.3,49.2
Viburnum,sieboldii,616-6B,66.8,50,3340,3.0,49.5
Viburnum,taiwanianum,RCW 49,8.58,20,171.6,23.3,32.5
Viburnum,vernicosum,PWS 2123,24.6,50,1230,8.1,44.4
Weigela,florida,9-18-08 WC,5.08,80,406.4,39.4,13.1
Zabelia,dielsii,Ex 7,12.7,75,952.5,15.7,36.8
Zabelia,tyaihyoni,ex 1,36.6,100,3660,5.5,47.0
Ilex,crenata,Tank 2006-91,9.26,30,277.8,21.6,30.9
Paracryphia,alticola,Tank 2006-112,1040,20,20800,1.0,51.5
