Genus,Species,Row,Column,"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Total DNA (ng),Cycles,"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Wells,Total DNA (ng),Volume for 100ng,Volume from first to add,Pool Number
Valeriana,supina,D,8,59.0,1121.0,12,66.8,D8,1269.2,1.5,0.0,2
Valeriana,microphylla,F,9,49.0,931.0,12,71.6,F9,1360.4,1.4,0.0,2
Valeriana,virescens,B,10,66.6,1265.4,12,85.6,B10,1626.4,1.2,0.0,2
Valeriana,lapathifolia,D,10,65.2,1238.8,12,82.2,D10,1561.8,1.2,0.0,2
Valeriana,prionophylla,A,11,70.8,1345.2,12,94.8,A11,1801.2,1.1,0.0,2
Valeriana,pyrenaica,F,12,43.4,824.6,12,56.6,F12,1075.4,1.8,0.0,2
Valeriana,lobata,H,11,4.46,84.74,16,50.8,H11,965.2,2.0,0.0,8
Valerianella,locusta,F,8,54.6,1037.4,12,70.8,F8,1345.2,1.4,0.0,8
Vesalea,coriacea,F,1,7.40,140.60,12,5.98,F1,113.62,16.7,0.0,6
Viburnum,acutifolium,D,1,7.86,149.34,12,3.98,D1,75.62,ALL,3.1,3
Viburnum,sargentii,H,2,34.6,657.4,12,65.8,H2,1250.2,1.5,0.0,3
Viburnum,plicatum,A,3,39.8,756.2,12,53.6,A3,1018.4,1.9,0.0,3
Viburnum,amplificatum,F,4,48.2,915.8,12,77.2,F4,1466.8,1.3,0.0,3
Viburnum,taiwanianum,H,4,37.0,703.0,12,29.6,H4,562.4,3.4,0.0,3
Viburnum,dentatum,B,5,56.6,1075.4,12,71.6,B5,1360.4,1.4,0.0,3
Viburnum,lantanoides,C,6,54.6,1037.4,12,60.8,C6,1155.2,1.6,0.0,3
Viburnum,clemensiae,B,7,48.0,912.0,12,53.8,B7,1022.2,1.9,0.0,3
Viburnum,sieboldii,C,7,57.4,1090.6,12,95.2,C7,1808.8,1.1,0.0,3
Viburnum,luzonicum,A,10,44.2,839.8,12,52.4,A10,995.6,1.9,0.0,3
Viburnum,orientale,G,11,38.8,737.2,12,43.4,G11,824.6,2.3,0.0,3
Viburnum,punctatum,H,12,34.6,657.4,12,18.5,H12,351.5,5.4,0.0,3
Viburnum,jamesonii,D,2,70.2,1333.8,12,114,D2,2166,0.9,0.0,4
Viburnum,vernicosum,H,5,62.8,1193.2,12,LOW,H5,LOW,NONE,1.6,4
Viburnum,cinnamomifolium,D,7,65.4,1242.6,12,88.6,D7,1683.4,1.1,0.0,4
Viburnum,lutescens,E,7,62.2,1181.8,12,14.1,E7,267.9,7.1,0.0,4
Viburnum,coriaceum,D,9,57.6,1094.4,12,91.6,D9,1740.4,1.1,0.0,4
Viburnum,rhytidophyllum,F,5,66.2,1257.8,12,74.0,F5,1406.0,1.4,0.0,5
Viburnum,rufidulum,A,9,63.8,1212.2,12,76.0,A9,1444.0,1.3,0.0,6
Weigela,florida,G,10,65.8,1250.2,12,73.2,G10,1390.8,1.4,0.0,5
Zabelia,dielsii,G,2,69.6,1322.4,12,0.232,G2,4.408,ALL,1.4,6
Zabelia,tyaihyoni,F,6,57.4,1090.6,12,88.8,F6,1687.2,1.1,0.0,6
