Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
Valeriana_prinophylla	346703	7033	0.020	281	51	43	29	11	3	0	0
Pterocephalus_sanctus	2325322	1848190	0.795	302	85	57	26	9	4	0	0
Scabiosa_columbaria	4880	480	0.098	75	2	0	0	0	0	0	0
Viburnum_orientale	334579	11838	0.035	317	43	39	21	6	1	0	0
Valerianella_locusta	14740	693	0.047	128	2	1	1	1	0	0	0
Viburnum_cinnamomifolium	173097	42282	0.244	308	148	141	94	36	10	0	0
Viburnum_sieboldii	227508	2685	0.012	221	10	5	4	1	0	0	0
Knautia_dipsacifolia	21564	1508	0.070	182	5	0	0	0	0	0	0
Bassecoia_siamensis	592404	129043	0.218	347	259	244	200	98	42	0	3
Viburnum_clemensiae	70269	1877	0.027	209	6	4	3	0	0	0	0
Cephalaria_gigantea	355907	86161	0.242	334	213	197	148	67	24	0	0
Valeriana_lobata	445096	159600	0.359	342	233	219	194	115	48	1	12
Valeriana_tuberosa	718354	10801	0.015	321	31	16	13	5	1	0	0
Cryptothladia_kokonorica	1785213	602397	0.337	351	339	326	311	256	170	0	52
Viburnum_luzonicum	348259	14419	0.041	321	63	60	43	19	6	0	0
Lonicera_standishii	160794	31568	0.196	315	192	184	139	64	21	0	0
Viburnum_sargentii	239047	5791	0.024	287	16	14	6	2	1	0	0
Lonicera_ferdinandi	319190	81957	0.257	335	242	233	179	81	31	0	1
Kolkwitzia_amabilis	362732	71090	0.196	348	290	283	260	190	91	0	4
Viburnum_rufidulum	867405	199339	0.230	350	306	298	260	172	79	0	13
Viburnum_punctatum	140981	4900	0.035	277	13	10	4	1	0	0	0
