Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	Genesat150pct	ParalogWarnings
Pterocephalus_sanctus	2343643	1878641	0.802	307	88	59	37	12	4	0	0
Valeriana_laxiflora	427311	14680	0.034	304	52	16	14	4	1	0	0
Valeriana_tuberosa	718467	14071	0.020	329	65	18	17	6	2	0	0
Triosteum_himalayanum	270184	65180	0.241	336	264	256	218	126	58	0	6
Valeriana_celtica	189005	6821	0.036	309	48	27	20	8	3	0	1
Tetradoxa_omeiensis	4007	625	0.156	57	12	6	3	0	0	0	0
Diervilla_sessilifolia	902289	163732	0.181	351	305	290	272	178	92	0	14
Lonicera_orientalis	424395	122952	0.290	339	284	268	235	128	49	0	4
Nardostachys_jatamansi	340440	106922	0.314	347	308	301	289	230	151	0	11
Valeriana_lobata	448114	170222	0.380	343	250	229	188	125	60	0	31
Viburnum_punctatum	141029	6314	0.045	284	25	9	7	0	0	0	0
Viburnum_sargentii	239084	7804	0.033	294	33	11	6	2	1	0	0
Lonicera_gynochlamydea	379319	107086	0.282	340	277	256	219	125	51	0	5
Viburnum_taiwanianum	844399	30125	0.036	345	89	50	37	22	6	0	0
Viburnum_vernicosum	411571	97321	0.236	332	239	225	194	116	52	0	2
Valeriana_wallrothii	497974	16006	0.032	328	70	40	32	10	5	0	0
Valeriana_polemonifolia	276495	7809	0.028	283	27	7	6	3	1	0	0
Knautia_dipsacifolia	21641	1788	0.083	196	14	1	1	0	0	0	0
Cryptothladia_kokonorica	1812010	689984	0.381	351	344	326	266	203	136	0	134
