Genus,Species,Row,Column,Cycles,"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Total DNA (ng),"Concentration after 12 (green), 14 (yellow), 16  (red) cycles",Wells,Total DNA (ng),Volume for 100ng,Volume from first to add,Pool Number
Paracryphia,alticola,C,12,12,51.4,976.6,56.2,C12,1067.8,1.8,0.0,6
Dipelta,floribunda,D,6,12,44.0,836.0,49.0,D6,931.0,2.0,0.0,6
Ilex,crenata,G,12,12,42.0,798.0,47.6,G12,904.4,2.1,0.0,6
Linnaea,borealis,B,6,12,30.6,581.4,30.6,B6,581.4,3.3,0.0,6
Diabelia,tetrasepala,E,1,12,23.4,444.6,22.4,E1,425.6,4.5,0.0,6
Abelia,uniflora,F,3,12,13.0,247.0,10.4,F3,197.6,9.6,0.0,6
Vesalea,coriacea,F,1,12,7.40,140.60,5.98,F1,113.62,16.7,0.0,6
Zabelia,dielsii,G,2,12,69.6,1322.4,0.232,G2,4.408,ALL,1.4,6
Dipsacus,fullomum,B,11,12,46.2,877.8,69.4,B11,1318.6,1.4,0.0,7
Succisella,inflexa,B,12,12,33.6,638.4,54.8,B12,1041.2,1.8,0.0,7
Cephalaria,gigantea,C,10,12,37.4,710.6,54.2,C10,1029.8,1.8,0.0,7
Triplostegia,grandulifera,D,11,12,43.4,824.6,43.2,D11,820.8,2.3,0.0,7
Knautia,macedonica,E,12,12,31.8,604.2,40.0,E12,760.0,2.5,0.0,7
Knautia,dipsacifolia,H,8,12,42.0,798.0,39.4,H8,748.6,2.5,0.0,7
Succisa,pratensis,A,1,12,21.2,402.8,36.6,A1,695.4,2.7,0.0,7
Scabiosa,mansenensis,C,8,12,34.4,653.6,34.2,C8,649.8,2.9,0.0,7
Pterocephalus,canus,G,1,12,10.8,205.2,26.2,G1,497.8,3.8,0.0,7
Sixalix,farinosa,E,6,12,38.2,725.8,22.0,E6,418.0,4.5,0.0,7
Lomelosia,albocinta,D,3,12,25.2,478.8,5.36,D3,101.84,18.7,0.0,7
Pterocephalus,sanctus,G,3,16,2.34,44.46,3.36,G3,63.84,ALL,15.5,7
Fedia,cornucopiae,C,2,12,84.0,1596.0,106,C2,2014,0.9,0.0,8
Centranthus,ruber,A,4,12,59.8,1136.2,104,A4,1976,1.0,0.0,8
Pteracephalodes,hookeri,C,9,12,71.0,1349.0,81.6,C9,1550.4,1.2,0.0,8
Valerianella,locusta,F,8,12,54.6,1037.4,70.8,F8,1345.2,1.4,0.0,8
Morina,longifolia,E,10,12,50.4,957.6,59.2,E10,1124.8,1.7,0.0,8
Plectritis,congesta,C,11,12,50.6,961.4,53.8,C11,1022.2,1.9,0.0,8
Valeriana,lobata,H,11,16,4.46,84.74,50.8,H11,965.2,2.0,0.0,8
Acanthocalyx,nepalensis ssp. delevaya,E,4,12,38.2,725.8,49.2,E4,934.8,2.0,0.0,8
Patrinia,triloba,C,1,12,23.8,452.2,34.0,C1,646.0,2.9,0.0,8
Nardostachys,jatamansi,H,10,12,34.8,661.2,29.0,H10,551.0,3.4,0.0,8
Cryptothladia,kokonorica,H,9,12,24.6,467.4,24.8,H9,471.2,4.0,0.0,8
Bassecoia,siamensis,D,4,16,5.04,95.76,10.9,D4,207.1,9.2,0.0,8
